pow_delta,pow_theta,pow_alpha,pow_sigma,pow_beta,stage
-119.88730769849849,-119.54274683378172,-126.3928140665454,-129.80271574722738,-131.81606064496515,2
-121.72195571604705,-121.53696761625835,-127.75333908457765,-130.0798186739458,-132.26196721171686,2
-118.69074822662668,-119.36059463869967,-126.41376576500838,-129.31775833393544,-132.49526103046028,2
-121.41549527976093,-121.06905533533103,-126.39828653136493,-129.8363061500863,-132.27168031291004,2
-119.23863607408254,-119.42247423936632,-125.7434473079731,-128.3977820545961,-131.86228447211116,2
-121.9444449338418,-120.04075865592765,-126.04801845855913,-129.16448213325603,-132.0587815527026,2
-120.6181412156957,-120.77652429973874,-126.49359273689772,-129.03521789215526,-132.17328686601974,2
-124.96981964531969,-124.42725430246477,-126.35421085681446,-129.45099641829714,-132.50931564709097,2
-112.09318214837494,-119.06067642720012,-122.50982358130445,-124.95103484977807,-126.67375380748854,0
-119.17902802919765,-123.60976712605076,-125.38791870811075,-128.9900686377958,-131.91239635116423,0
-123.24975640265237,-125.18044261169057,-128.64644194811262,-131.3326229578635,-133.73153629353826,0
-124.85914626846282,-125.97323954352755,-127.6137660417347,-130.2966478600427,-133.15599624641914,0
-120.31657573188427,-123.62954666989341,-125.9261494829253,-129.54947231307113,-132.3688628770437,0
-122.34405284363164,-123.03571770178928,-126.0852957401427,-129.41367213036497,-132.55467511184884,0
-122.82533805379458,-123.12067821245645,-126.68912339105658,-130.44670805066016,-132.7520026881652,0
-123.79049889178002,-123.73446316264432,-126.39238685096011,-129.80734617931458,-132.71339281031564,0
-120.09715519647216,-122.4752480384007,-128.29743092295732,-130.63019816461644,-132.99453548770927,2
-121.27086434931691,-121.91082496714539,-127.16374572999742,-130.8202890839351,-133.07662968625422,2
-118.09331518962145,-119.55031309218928,-126.53741766593936,-129.53358037113546,-133.5685572758947,3
-119.16657159691188,-120.54157672787179,-127.17274924130577,-130.1290499985845,-133.33202519983158,2
-117.72989127934233,-122.60126108705568,-124.66374983903226,-128.16733952514218,-130.54656939853254,1
-119.93865563944986,-123.94585753218277,-126.33328698068208,-129.86316675472298,-132.88805259728022,1
-109.61761173268944,-118.14317692065303,-121.74906563909039,-124.6328559414515,-126.65536513052933,0
-121.94761737244548,-125.19053078361313,-127.27426594293807,-129.27501770700582,-132.88598066494544,0
-124.19041742867883,-124.7618249794982,-127.6690372094544,-130.92090557999023,-133.4312359880889,0
-124.09209427962647,-124.13016690157716,-128.73546501471006,-131.56504083574634,-133.661443706357,1
-125.2889448066101,-125.31163650330251,-127.3605352323763,-131.1975033948864,-133.79841609032914,1
-123.14893991556333,-124.22351033019771,-129.8893355790196,-132.29233867892123,-133.3092613684088,1
-123.65406831812167,-122.93578984336126,-126.89961115862863,-130.05023046530067,-132.7380718283336,1
-119.96934414225574,-122.79056464761838,-128.2481990661142,-130.75579822495854,-133.39295640465562,2
-110.84994868495826,-117.46346299547518,-120.62920195146427,-122.26911837011274,-125.15155618298081,1
-125.15014187118989,-126.23294612480206,-129.44231166206572,-131.99935423129244,-134.1308571752073,1
-122.91423965772137,-123.40558137319347,-129.00891422554184,-131.32661882704394,-133.42170408925514,2
-118.7940029591093,-120.30828542870768,-125.03020003200669,-128.05397685003092,-129.17152907341622,2
-113.0023044597731,-120.29454780000358,-123.9284514576597,-126.46308706074721,-129.43237197876863,1
-122.64442169126434,-124.26398777104517,-127.04970706748693,-130.28701809688496,-132.95703932242478,1
-123.95977310578319,-123.66273487368201,-129.6292138842254,-132.29904880086582,-133.83434017138308,1
-121.41856225846702,-123.89052092714716,-126.15959534091579,-129.99457967821,-132.420115029153,0
-113.50572980655686,-118.79027277308828,-122.70715221716974,-125.86297419957997,-126.77699218344955,0
-116.33987469501625,-120.48779556402552,-122.69642254670244,-124.46428984255968,-126.7766779368788,0
-122.7179935361122,-124.1391618685077,-128.3472995606985,-131.34970751075426,-132.69313838482807,1
-119.59320808633493,-120.93497026764169,-127.96385620477731,-130.52531186745676,-132.37003201698676,2
-118.40242983918573,-121.00308471071718,-126.94570026123085,-129.46298520283727,-132.5192944400248,2
-118.77166798814675,-121.08725124183097,-126.6744212608199,-128.8322807077119,-132.45517677522386,2
-117.91668685651466,-120.55731885712967,-127.02016518170318,-129.44408899279594,-132.43843431789594,2
-117.82795822793729,-120.36314207462095,-126.31566349306982,-128.8604993621882,-132.930963426399,2
-119.1948097769362,-120.7693814730629,-126.82534294459388,-128.77290819091513,-133.3124175133864,3
-120.07835666452526,-122.83141959190905,-127.69942455675529,-129.87126846396745,-134.1468189240144,2
-119.23433503898795,-122.41552898959236,-126.51908808459365,-129.73546893591947,-132.82445849387534,2
-119.24804868148159,-121.99505215674475,-126.62117937084776,-128.04321505071246,-133.29140947322637,2
-119.45974927067108,-121.56442280224628,-126.81525341983165,-129.01153646659426,-133.8856049127199,2
-117.83764427721925,-121.42855148853924,-126.2525689815482,-129.23384841310266,-134.0534759941235,2
-118.05258788038931,-122.85587701596535,-128.1953135769223,-129.55044442893453,-133.88276759205345,2
-117.77260539337422,-121.30632734074068,-127.3651352396929,-130.06896861385147,-134.5076188117138,3
-119.05452373516275,-121.3793528491617,-127.08883004563533,-129.733218875504,-134.646627765862,3
-119.69496199822181,-122.71821870494415,-128.48007646999906,-130.22819247131045,-134.1268207900879,2
-120.71984161069167,-122.71182909082637,-127.14023005023999,-129.83041091291588,-133.20018805371026,4
-119.40184433869032,-125.27369178928683,-127.5651275558704,-130.34030722880527,-133.28954980382076,4
-126.50649474924649,-125.9814600457482,-129.10150172803313,-131.502295543554,-133.2066565040106,4
-124.06819576931734,-121.55324687326925,-125.37595801061082,-129.41888784874376,-131.7965033603733,4
-120.70621975667113,-121.27486452928437,-127.20976705138808,-130.09587032148139,-132.5746981042975,2
-117.43947346421335,-117.886892070123,-125.00334181380798,-127.59974874106064,-130.5834081326438,2
-119.93437019733497,-121.33878312516177,-126.96295617297875,-129.54164123363694,-132.83803336195396,2
-120.71858925793927,-121.97292790835043,-126.75636742301907,-129.3483831767678,-132.68436285410078,2
-120.07877300761436,-122.73948838104523,-128.96478148171266,-131.11996766301021,-134.48147142535822,2
-120.27292279676486,-122.5982415919402,-128.21896624067372,-129.76020808450812,-134.63214702938902,2
-118.66815124385,-122.10050668134622,-128.5612350084103,-131.09998897294847,-135.93062697647616,2
-119.72242735627438,-122.414641930177,-126.56044389427579,-129.44706423768866,-133.16303451427817,2
-121.23325652643759,-123.17656601696208,-128.48330757095232,-130.09655813230017,-133.99154937678853,2
-123.12958842746501,-122.8517803713489,-127.29239714881177,-129.7384077297192,-132.66262418781633,2
-116.02269405053832,-119.99845279697095,-122.40533702877715,-125.73778656016164,-126.25528253727774,1
-119.52520233540177,-122.45439434795873,-124.72005915313078,-127.13010033122353,-129.77623947962155,1
-124.08139227049236,-125.03673520302868,-128.25465300099597,-130.0951720160102,-132.7010701312631,1
-123.41098139302053,-121.9904497045456,-126.56654278682419,-129.6581187857291,-133.1466141426148,1
-124.86843154827791,-125.52543116551568,-126.41759837342401,-130.87522011247685,-133.521799025537,1
-123.37219488875267,-124.00789937252877,-128.05587023710504,-131.31032883969064,-133.0035985189077,1
-123.84904132672209,-123.77768268462394,-126.91208917124467,-129.97060876675462,-132.78212483259674,1
-120.8803506042984,-123.09733872530228,-125.26858906295935,-128.76573732276944,-131.82197517312477,1
-118.91263692205678,-121.6575936467653,-127.01819435812112,-130.46748255045162,-133.0978204462472,2
-118.56991203879086,-121.51668147133545,-127.73876578785202,-131.28188171494696,-133.59065828340536,2
-120.61584377724888,-120.85213712007,-127.92272115616142,-129.63434039070393,-133.21659807841772,2
-122.13761846949187,-120.5434615459879,-126.87169952833986,-129.87477953198652,-132.6627926504311,2
-123.95554504863331,-122.59737148365544,-127.65401438056989,-129.94344501640256,-133.15525153157506,2
-122.33015426379828,-122.40697009668345,-126.14643987220136,-130.2827432995704,-133.09195479642992,2
-121.23424890348932,-122.61500438604779,-129.94285825408525,-131.82177768427707,-134.91476890658794,2
-116.0611571064348,-121.71467536193352,-126.37273139490239,-128.77774216379692,-130.76063740729455,2
-121.78382694539889,-122.96819737552148,-125.80050926278503,-129.77137084373402,-131.35502207756073,1
-113.47467873534613,-119.7635456951051,-125.47681890570354,-127.52671002536447,-129.80853965321137,0
-107.87561335091809,-115.81814971814022,-122.23948094792927,-124.26040982195339,-125.57963305200191,0
-117.42778191084669,-123.14836267483047,-125.4975381308169,-128.58378841192464,-132.06818342899436,0
-124.11968335832724,-124.66558937720828,-128.98218041889297,-131.5743786954928,-134.10839691977344,0
-123.75031087521204,-122.15173480939679,-127.53272483235041,-129.62094386161522,-133.64889353550132,0
-124.1491100318853,-122.40691169510004,-127.0878214712137,-130.46693529477352,-133.98563067954157,0
-119.50803378687299,-120.35965288963519,-125.0373973955801,-129.00735005025936,-131.4101176244148,0
-123.25767199993338,-124.45126824847115,-127.4417533387232,-131.465820001369,-133.9665611214353,0
-114.78273729804886,-119.81973336272239,-123.07432170901623,-124.46926988294989,-126.24720970802524,0
-109.25988654848845,-118.41821208797525,-123.30492682018341,-125.5494361927364,-126.29458814070686,0
-121.65602341585601,-122.56339967537262,-126.69974284024363,-129.98807034889722,-132.8037489893833,0
-120.49885076651255,-123.17922388357609,-127.13121301873521,-130.2164589222463,-133.4634053012069,0
-107.67826786870675,-116.16564137900818,-120.55385918521907,-123.07022182083173,-124.12019103053058,0
-120.68160197556165,-123.41576457110344,-126.41120200510443,-130.4182808649189,-132.745294169395,0
-120.432467453533,-123.71933724107613,-127.49143887748554,-130.58287844347407,-133.08834142219294,1
-119.55791466743709,-122.62234659521341,-128.65300783904522,-131.65408965880994,-133.1496194477702,2
-124.14027844334343,-124.15880357803643,-128.90758458517206,-132.45035158312137,-133.15735493202445,2
-119.27842240204228,-121.96497328796048,-128.97119969663703,-131.96851097775414,-133.86483881670338,2
-122.72056499974855,-123.6499990829071,-129.5892513853907,-131.23171729125227,-133.90601788354428,2
-120.75169612489347,-122.497154739222,-128.8662574091148,-131.51840132757061,-134.10042222657268,2
-118.81811932245294,-121.7236605672719,-127.94307239134216,-129.2117042339979,-135.69288470233462,3
-120.40280527357626,-120.52265368838937,-128.75799841200575,-129.75622989804725,-134.88707162418922,2
-121.8933162310317,-124.01941062689778,-130.56152930376223,-132.65918510086647,-136.2500174689318,2
-121.37838218924806,-123.36917550708644,-128.84311976167325,-131.15121857181686,-135.75010094933032,2
-119.05256995448137,-122.3797424676271,-128.98175762671838,-129.2120660176816,-136.28681081515444,3
-117.7969144690563,-122.32582910849518,-127.87604266917239,-129.6285426254268,-135.372677389688,3
-120.44974673254333,-124.22453275262461,-129.69126766780033,-132.66629800316045,-135.85313605055043,2
-120.55945732107514,-123.16214647241185,-128.09506679147182,-130.4575200626482,-136.9500266979287,2
-120.05413547158066,-121.7559678999863,-127.78412683184185,-130.24093539452628,-135.2184968767022,2
-118.77644421006447,-123.04419488832097,-128.2382643317376,-129.88036634203385,-136.38854658102053,2
-121.52129455595136,-123.46273015743772,-129.02784381701994,-130.83387468762112,-135.17875591014175,2
-120.50486124967087,-121.82749208869834,-128.60909638283906,-131.25583097168786,-135.46448002764788,2
-119.86538418056605,-123.6834078013164,-128.4936325857311,-130.34189353598407,-137.03366155799543,2
-120.18671733639553,-123.49106351810029,-128.91512049387643,-132.5837785603173,-137.6762387622279,2
-121.70041674282733,-125.20054600522934,-130.721110871653,-132.74306592859577,-137.76802666043622,2
-119.45943875877397,-123.55906245325345,-128.77004071790404,-130.62771733560683,-136.97413785852083,3
-120.18757477454544,-124.19538193428008,-129.74989756356743,-131.617966050547,-136.95023893172035,2
-119.8679847148925,-123.35545153183548,-128.7836786286541,-130.59029455835733,-137.27695542292312,3
-121.19381022505108,-124.10843747000443,-128.1027156931615,-132.1693723680681,-136.38007242769353,2
-122.30075397733424,-124.29704536247391,-130.00926602729817,-130.9684042660237,-138.24690545459822,2
-121.78614823335182,-124.7599359964864,-130.144157497241,-131.04448440070968,-137.2754228239262,2
-121.19425008023133,-124.81475888587448,-130.16412266954282,-131.44896010248112,-137.39243795714052,2
-121.73842953979869,-123.28943066729698,-129.0326711876844,-131.97181800158708,-135.734526610629,2
-120.27022814159676,-122.90169714204691,-128.91835824458792,-131.18885344602882,-136.40918389413937,3
-120.57354214384715,-123.26062288934823,-129.7625898536877,-130.62628543987017,-137.13976144484937,3
-123.08127100955157,-124.41683154255291,-130.37644401900394,-133.69771708198715,-137.87706824101693,2
-117.67017634376782,-121.35045083657054,-124.18462022838234,-125.8799337475583,-127.50592539481713,1
-123.51845465884158,-124.3057913443572,-129.5787933740317,-131.7190237671951,-133.55757740823398,1
-121.88779444308597,-122.44626200433049,-127.99957647512618,-130.41773834704145,-133.9591992061824,2
-121.15661546976139,-123.1479020272531,-128.784111767128,-130.53320016129211,-135.17136789073567,2
-118.39974843548453,-119.72974880588252,-123.96534311901407,-126.79293842622491,-129.2064100801256,2
-119.77340559705344,-123.87821399338863,-128.40141045912236,-131.5635286020447,-134.79185486888161,2
-120.43716885226783,-123.08816310008343,-128.1865289184369,-131.64827016092815,-134.8821379620916,2
-120.05713717419543,-121.34213287261117,-127.25955355948048,-129.55415893246857,-135.5389070840432,2
-122.6167015161587,-124.53151174962213,-129.436131667267,-132.60720894956907,-136.40314374494912,2
-121.63937527329546,-124.28079090974148,-129.00763912712037,-131.90125351163368,-136.67020400970824,3
-124.10073146022178,-123.94470849084448,-127.65006659548935,-129.60241371468047,-132.3834670705463,2
-120.87315249472601,-124.03690427275546,-129.5669647937167,-130.11861291173264,-136.10058802397842,2
-123.05066619303688,-124.40040504698838,-129.93847755501906,-132.45511781357573,-135.33271374485977,2
-121.23370495637994,-123.94291291839983,-129.86400633184638,-130.96085025584048,-136.30223308369807,2
-122.40176865657658,-124.76766013113371,-128.81925507679196,-131.34005684680292,-137.222207379815,2
-122.45573666702359,-124.8684194708268,-130.14991413079485,-132.10039423904743,-137.32040699225888,2
-122.44292047934876,-124.96864499934793,-130.22058137187832,-132.55468627857275,-137.57185634582808,2
-121.75965957674096,-124.30013446336041,-128.9630772084797,-129.94882863211097,-138.0901951280815,2
-120.64581557861457,-124.14773270916474,-128.28848867015284,-131.786013247419,-137.0420044806727,2
-122.0853673993538,-125.87082161014777,-131.29559414100757,-133.41595131405188,-137.6328982251349,3
-117.72979925803386,-121.84017255754242,-127.81237170295181,-130.12034228791126,-136.62358824637883,3
-122.91298812005526,-123.88762797929458,-129.46072353278282,-132.77846341485463,-138.0071733828737,2
-120.29018547206832,-123.25043897977505,-129.39272077117042,-131.81281878792748,-137.81723874162637,3
-121.62969515949743,-124.4570031230214,-129.95814616789644,-131.526617446555,-138.8468344655631,3
-120.53619496366727,-124.51799556440916,-129.2644199717725,-132.86157829530782,-138.2235843287667,2
-118.92011187449361,-123.68667715201346,-129.22301759410126,-130.357042539678,-137.74906840320182,3
-113.7645565802048,-116.55330764826577,-120.13396436606834,-120.91476733503785,-122.63604206244158,1
-122.29858358337981,-124.08809536358473,-129.05358290015025,-130.17477872102583,-134.38520632684688,2
-121.86737754683564,-124.02384380555992,-129.14883984921804,-131.70241311411445,-134.2413678004819,2
-120.1111748170366,-122.76486080931916,-128.26409715463606,-129.68737790258078,-134.06102736435622,2
-119.37736933924144,-123.3580053066443,-129.16863566671222,-131.34756827372425,-135.52457128580943,2
-121.63055319945673,-121.67064208982174,-128.70626197718087,-130.23356350471764,-134.81989851897382,2
-120.66418101612346,-122.41352901405033,-128.61239771021533,-131.19704795396294,-135.2133858097392,2
-122.07124639815964,-122.99738793689167,-128.3336389902279,-130.9116983379008,-134.7982701034308,2
-122.36906241606317,-124.84394558965133,-129.74250280644682,-131.32765950168758,-136.21691841597737,2
-120.9076182490735,-122.53379073763449,-128.6532360885622,-131.59171311569804,-135.14081788140462,2
-114.46340909938499,-118.49410380604617,-121.99705120575773,-123.51087423426085,-124.8308531815728,1
-121.62736321447164,-123.51217008298214,-128.41722150543063,-131.12995256360074,-134.09206044315667,1
-120.74326602411097,-123.48824168988762,-128.10027918095687,-130.0708656939244,-134.82876114223757,2
-121.05325424483955,-121.73043804514924,-127.87806539691452,-130.39264105973334,-133.92401547919263,2
-120.79059319338992,-122.19831669338645,-127.879862971997,-130.5384675292449,-134.4668323654044,2
-121.40143497176362,-123.78315178001333,-128.4049674610899,-130.55911320844,-136.58312563382088,2
-121.05690233944456,-123.76512828921676,-129.60080949234427,-132.0467952891362,-135.9399331870397,2
-121.46855444868991,-124.0588522516057,-129.17773080163505,-131.59976739120722,-135.73373385756153,2
-118.70440028284968,-123.37094314130331,-128.30429454383736,-130.26238930758947,-137.02189777989167,3
-119.28470249691632,-121.7648048731337,-127.51025570946757,-130.0899856677241,-136.1879776222418,3
-123.19548931062867,-124.82396092757169,-130.75062320768384,-131.00400805301126,-138.38606357586164,2
-119.40908099861988,-122.69957419852886,-128.12014952178666,-131.2169121008807,-136.7110758327014,3
-120.59868969499328,-124.03910123998243,-130.25422602647305,-131.50022503162393,-138.43570695157592,2
-120.80388859160315,-123.72360701659645,-130.63539166226406,-131.1983339533164,-139.12170470536586,2
-120.67098915418143,-123.64272397302257,-129.83656649601338,-131.62201560680694,-139.3510718929734,3
-121.1163208829717,-124.23964500804287,-130.63312043127243,-131.7526296198282,-138.68407089818697,3
-121.42715641714774,-122.81021845743591,-129.5936414597197,-133.31676316622486,-138.14171389431303,2
-119.45099297261322,-121.83429899493122,-126.49145367639628,-130.1861511217192,-133.19821576685115,2
-116.49489978069825,-124.95159000850451,-131.08808261179172,-135.3888363216598,-138.33266458146042,4
-125.64309018707549,-128.5823299462842,-132.46086284188414,-134.94727195342182,-138.394157888973,4
-123.78049166284778,-127.46561957165454,-131.85247437645137,-134.6877108162286,-138.8418158424957,4
-120.24350142528219,-126.29598769002041,-131.23657384038282,-132.7832228812394,-136.35813504814595,4
-124.76791730139466,-127.82990461124744,-132.52363716834327,-136.8044340153725,-139.4100529633878,4
-123.96711022591434,-128.20784570476684,-132.58791622397507,-136.35513375228058,-139.151435151053,4
-121.44438527673603,-126.5768468284922,-132.05916368157023,-135.69148074702323,-139.19366562347858,4
-122.13670557265186,-125.73743237427745,-129.95425564684007,-132.83899791033159,-135.56578022984064,4
